obs,phoneme,cog,skewness
1,s,3285.3001128225,2.7245304243414368
1,sh,2556.03309688717,2.30526092706414
2,s,3510.6483041366273,3.0930988093091227
2,sh,2781.14655965619,2.4720068005128626
3,s,4029.2476161007257,3.3319414947387567
3,sh,2978.726233233571,2.475432154014205
4,s,4122.940443171394,2.9952886614491434
4,sh,2997.0932798087183,2.4490137715804927
5,s,4664.371387589953,2.875138586736483
5,sh,3020.3099080813154,2.6492651153645856
6,s,4679.531615881985,3.839298125907826
6,sh,3096.509523135366,2.7775004330108435
7,s,4792.50484303788,3.529665654872039
7,sh,3164.6922989467753,2.1017269064950135
8,s,4811.24430545048,3.51388761991798
8,sh,3252.7218946845987,2.7409088583914674
9,s,4873.546189257668,3.434093189999652
9,sh,3405.3814328940757,2.777635597802769
10,s,4878.759419458196,3.541401394319683
10,sh,3432.0428552625485,2.630967883320059
11,s,5021.84994489138,3.4780498060917564
11,sh,3510.378885399383,2.945392004215055
12,s,5085.00543670032,3.6266416470010623
12,sh,3528.383243049542,2.6863441851810954
13,s,5105.710046289651,3.4728056743492965
13,sh,3541.387668610491,2.7138277019453305
14,s,5194.611612843644,3.32326423091233
14,sh,3545.0650137451985,2.9440144624885596
15,s,5246.638319863492,3.820886813422722
15,sh,3565.9839752066796,3.1269174474274597
16,s,5335.476403746413,3.971687206973116
16,sh,3621.2794908485503,2.864650725611721
17,s,5344.204493294671,3.610354132802213
17,sh,3645.366501425254,2.738246448755099
18,s,5387.653787849772,3.443168942803348
18,sh,3706.2228188267927,2.6152887504414792
19,s,5397.212272657004,3.827054397464067
19,sh,3756.6528610925593,2.812119834770478
20,s,5440.686603288815,3.711401474265611
20,sh,3891.8571079009344,2.7579626886484627
21,s,5443.871260470999,3.3752919488705317
21,sh,3891.956316895341,2.8941916418239133
22,s,5446.194959417095,3.723523851644601
22,sh,3968.607997813464,3.063179832551046
23,s,5455.066390984769,3.6014731287067554
23,sh,4000.8842813052993,2.8300707222478767
24,s,5483.809736901054,3.673711152478446
24,sh,4022.4017270245326,3.541034239731242
25,s,5574.5649833651905,3.555968019155425
25,sh,4059.473059321331,3.0609388647936817
26,s,5683.643324222082,4.202450043694535
26,sh,4122.6026705695185,3.287342788775748
27,s,5829.507771815361,3.848527478629436
27,sh,4151.033839611474,2.6176921238377155
28,s,5864.58196213683,3.6111882986178
28,sh,4213.679032617785,3.25503974774798
29,s,5887.671611559369,3.98327449352758
29,sh,4233.15698841397,2.8533294621166725
30,s,5889.8432364114315,3.9975567474868106
30,sh,4266.3602969708145,3.3171408840072356
31,s,5917.9415601997025,3.761805440017993
31,sh,4272.89575313954,3.2160739076601614
32,s,5987.429052428485,3.4159303918783337
32,sh,4296.0150479330305,3.066501808112561
33,s,6056.6631986736575,3.900235258823806
33,sh,4318.484704293654,3.4240940781822817
34,s,6075.7813516534925,4.151992203010844
34,sh,4380.4076231197305,3.0499574777104814
35,s,6093.901321217509,4.035006005400232
35,sh,4446.789140452243,3.1072717093780144
36,s,6119.825747894711,4.040277125146309
36,sh,4455.77570195393,3.027673414771882
37,s,6196.963375404737,4.210645833426391
37,sh,4475.156950102737,3.10394275370069
38,s,6238.324705129217,3.8818706248487143
38,sh,4488.581082791244,3.4333275320702383
39,s,6263.175748457545,4.350943283083621
39,sh,4551.791489960621,3.3626361748893427
40,s,6268.532924515415,4.133197656602075
40,sh,4560.170919611998,3.481117303341408
41,s,6282.136300731067,4.2825302838451496
41,sh,4850.47986982109,3.3472162020998093
42,s,6321.221195098088,4.3674321444965365
42,sh,4928.322092555962,3.5394351046329104
43,s,6381.107726454215,4.235249946210168
43,sh,4942.469597258563,3.520067783526581
44,s,6418.977371608218,4.033747163230905
44,sh,4966.294244786538,3.1978956539167616
45,s,6443.836210685299,4.454511016536116
45,sh,5146.41896136083,3.928895338175505
46,s,6600.025371983883,3.899979697034846
46,sh,5172.4438892503085,3.6131114768118895
47,s,6624.930918143108,4.203507311071209
47,sh,5269.466763632677,3.787853181647911
48,s,6858.679551529044,4.378205633933124
48,sh,5584.319918804687,3.98318729478414
49,s,7011.781168450848,4.472666376872423
49,sh,5738.089336289722,3.8589315278564063
50,s,7095.280802137791,4.751733182825717
50,sh,5921.294208403821,3.899484020248517
